"Latitude" "Site" "n" "mean_mm" "min_mm" "max_mm" "sd_mm" "median_mm"
"1" 30 "GTM" 28 12.4032142857143 7.55 14.92 1.8044493436676 12.635
"2" 31.4 "SI" 30 9.85433333333333 6.64 13.63 1.79009667111975 9.55
"3" 33.3 "NIB" 30 13.292 8.52 17.29 2.41917255731561 13.26
"4" 34 "ZI" 35 12.0637142857143 8.05 15.74 2.0092507905923 11.96
"5" 34.7 "RC" 25 12.4916 9.4 17.64 2.34499054724463 12.09
"6" 37.2 "VCR" 30 16.3356666666667 11.66 21.35 2.93851203647454 16.02
"7" 39.1 "DB" 30 15.604 11.46 20.38 2.11995868534889 15.1
"8" 39.6 "JC" 30 15.2746666666667 9.58 20.92 2.72202223677017 15.425
"9" 41.3 "CT" 33 14.6915151515152 11.01 19.47 2.35752136948443 15.52
"10" 41.6 "NB" 29 17.1403448275862 13.19 21.94 2.28818156553349 17.17
"11" 41.9 "CC" 27 16.8151851851852 10.62 19.85 2.05468951495086 16.74
"12" 42.2 "BC" 37 16.1972972972973 9.01 23.43 4.81446353804442 17.33
"13" 42.7 "PIE" 28 18.5039285714286 9.92 22.13 2.2960583604754 18.38
